drug,indication,side_effects,drug_interaction,dosage
Analgesic Balm Greaseless,"Analgesic Balm Greaseless is a topical medication indicated for the temporary relief of minor aches and pains of muscles and joints associated with conditions such as: simple backache, arthritis, strains, bruises, and sprains.","When used as directed, Analgesic Balm Greaseless is generally well-tolerated.  Side effects are uncommon but may include skin irritation, redness, burning, or itching at the application site. If these effects persist or worsen, discontinue use and consult a healthcare professional.  Severe allergic reactions are rare but possible.","Significant drug interactions with topical Analgesic Balm Greaseless are unlikely. However, it's always advisable to inform your doctor or pharmacist about all other medications, including topical products, you are currently using.  While not a direct drug interaction, using heating pads or tight bandages over the application site can increase the risk of skin irritation and should be avoided.","Apply a thin layer of Analgesic Balm Greaseless to the affected area not more than 3 to 4 times daily. Massage gently into the skin. Do not use on broken or irritated skin, or with heating pads or tight bandages.  Consult a healthcare professional if pain persists for more than 7 days or if redness or swelling is present. Keep out of reach of children."
Atacand HCT,Atacand HCT (candesartan cilexetil/hydrochlorothiazide) is indicated for the treatment of hypertension (high blood pressure). It may be used alone or in combination with other antihypertensive agents.  It is NOT indicated for initial therapy.,"Common side effects of Atacand HCT can include dizziness, lightheadedness, back pain, and upper respiratory tract infection.  More serious, but less common, side effects can include hypotension,  kidney problems, and angioedema.  This is not an exhaustive list, and patients should consult with their doctor about potential side effects.","Atacand HCT can interact with other medications, including: other blood pressure medications (especially other ACE inhibitors, ARBs, or diuretics), lithium, potassium supplements, and NSAIDs (nonsteroidal anti-inflammatory drugs).  It may also interact with certain medications for diabetes.  Patients should inform their doctor of all medications and supplements they are taking.",The dosage of Atacand HCT is individualized based on the patient's needs and response to therapy.  Typical starting doses range from 16/12.5 mg to 32/12.5 mg once daily.  The maximum recommended dose is 32/25 mg once daily.  Dosage adjustments may be necessary for patients with kidney impairment.
Azuphen MB,"Azuphen MB is a combination medication containing phenylbutazone, aminopyrine, and caffeine.  It is primarily indicated for the relief of musculoskeletal pain and inflammation associated with conditions such as arthritis, bursitis, and tendinitis.  It may also be used for other inflammatory conditions as determined by a veterinarian. Note: This medication is primarily used in veterinary medicine, particularly for horses.  Use in humans is discouraged due to the potential for serious side effects.","Azuphen MB can cause a range of side effects, some of which can be serious. These include gastrointestinal ulcers and bleeding, bone marrow suppression (leading to decreased blood cell counts), kidney damage, and liver dysfunction.  Allergic reactions can also occur.  In horses, side effects may include right dorsal colitis, oral and gastric ulcers, and renal papillary necrosis.  Consult a veterinarian immediately if any adverse effects are observed.","Azuphen MB can interact with several other medications, including anticoagulants (e.g., warfarin), other NSAIDs (e.g., ibuprofen, aspirin), corticosteroids, and certain antibiotics.  These interactions can increase the risk of side effects such as bleeding and gastrointestinal ulcers.  It's crucial to inform your veterinarian about all other medications your animal is receiving.  Food interactions are less documented but caution is advised.","The dosage of Azuphen MB varies depending on the species, the specific condition being treated, and the individual animal's weight and health status.  It should only be administered under the direction of a veterinarian.  Do not attempt to self-medicate animals with this drug.  The dosage and duration of treatment will be determined by the veterinarian based on a careful assessment of the animal's condition."
Amoxicillin Chewable,"['Bacterial infections of the ear (otitis media)', 'Bacterial infections of the nose, throat, and sinuses (upper respiratory tract infections)', 'Bacterial infections of the lower respiratory tract (e.g., pneumonia, bronchitis)', 'Bacterial infections of the skin and skin structure', 'Bacterial infections of the urinary tract', 'Lyme disease (early stage)', 'H. pylori infections (in combination with other medications)', 'Dental infections', 'Prevention of bacterial endocarditis in certain at-risk individuals']","['Common side effects include diarrhea, nausea, vomiting, and rash.', 'More serious side effects, though less common, include allergic reactions (ranging from mild skin rashes to severe anaphylaxis), Clostridium difficile-associated diarrhea, and abnormal liver function tests.', 'Patients should seek immediate medical attention if they experience signs of an allergic reaction such as difficulty breathing, swelling of the face or throat, or hives.']","['Amoxicillin can interact with certain medications, including allopurinol (increased risk of rash), oral contraceptives (may reduce effectiveness), and warfarin (may increase bleeding risk).', ""It's important to inform your doctor about all other medications, supplements, and herbal remedies you are taking.""]","Dosage is dependent on the age, weight, and the specific infection being treated.  It's crucial to follow the prescribed dosage instructions provided by a healthcare professional. General guidelines suggest a range from 20-40 mg/kg/day divided into doses every 8 or 12 hours, depending on the severity of the infection.  For adults, typical doses can range from 250mg to 500mg every 8 hours or 500mg to 875mg every 12 hours. Always consult a doctor or pharmacist for appropriate dosing instructions."
Avelox I.V.,"Avelox I.V. (moxifloxacin) is indicated for the treatment of various bacterial infections, including:
- Acute bacterial sinusitis
- Acute bacterial exacerbation of chronic bronchitis
- Community-acquired pneumonia
- Complicated skin and skin structure infections (including diabetic foot infections)
- Complicated intra-abdominal infections (including polymicrobial infections)
- Plague","Common side effects of Avelox I.V. may include:
- Nausea, vomiting, diarrhea
- Dizziness, headache
- Insomnia
- Infusion site reactions (pain, swelling, redness)

Serious side effects (less common but require immediate medical attention):
- Tendon problems (pain, swelling, rupture)
- Peripheral neuropathy (numbness, tingling, burning pain in hands or feet)
- Seizures
- Severe allergic reactions (rash, hives, itching, swelling, difficulty breathing)
- *Clostridium difficile*-associated diarrhea
- QT prolongation (a heart rhythm problem)","Avelox I.V. can interact with several medications, including:
- **Antacids, sucralfate, multivitamins/minerals containing iron, zinc, or magnesium, didanosine buffered tablets/buffered powder for oral solution:** These can decrease the absorption of moxifloxacin. Separate administration by several hours.
- **Drugs that prolong the QT interval (e.g., amiodarone, sotalol, quinidine, procainamide):**  Combining these with moxifloxacin can increase the risk of serious heart rhythm problems.
- **Antidiabetic agents (e.g., insulin, sulfonylureas):** Moxifloxacin can alter blood sugar levels, requiring adjustments in antidiabetic medication dosage.
- **Warfarin:** Moxifloxacin can enhance the effects of warfarin, increasing the risk of bleeding.  Close monitoring of INR is necessary.
- **Theophylline:** Moxifloxacin can increase theophylline levels, potentially leading to toxicity. Monitoring of theophylline levels is recommended.
- **Digoxin:** Moxifloxacin may increase digoxin levels. Monitoring of digoxin levels is recommended.","The usual dosage of Avelox I.V. is 400 mg once daily, infused over 60 minutes. The duration of treatment depends on the type and severity of the infection.  Dosage adjustments may be necessary for patients with renal impairment."
Apples,Apples are not a medication and are not indicated for the treatment or prevention of any medical condition. They are a nutritious food that can contribute to a healthy diet.,"While generally safe, consuming large quantities of apples may cause gastrointestinal discomfort like gas, bloating, and diarrhea due to their fiber content.  Apple seeds contain amygdalin, which can release cyanide when digested, but the amount in a few seeds is generally not harmful.  Some individuals may experience allergic reactions, including itching, swelling, and difficulty breathing.","Apples have no significant documented drug interactions. However, the fiber in apples can theoretically affect the absorption of certain medications. It's best to consult a doctor or pharmacist if you have concerns about potential interactions with specific medications you are taking.","Apples are a food, not a medication, and therefore don't have a prescribed dosage.  Health organizations generally recommend consuming a variety of fruits and vegetables as part of a balanced diet.  A moderate intake of one to two apples per day is generally considered healthy."
Avita (Tretinoin Gel),"Avita (tretinoin gel) is primarily indicated for the topical treatment of acne vulgaris. It may also be used off-label for other skin conditions like photoaging (sun damage), fine wrinkles, and hyperpigmentation (dark spots).","Common side effects of Avita include skin irritation (burning, stinging, redness, peeling, dryness), increased sensitivity to sunlight, and worsening of acne in the initial stages of treatment. Less common but more serious side effects can include severe skin irritation, blistering, or allergic reactions.  Patients should consult a doctor if they experience severe or persistent side effects.","Avita can interact with other topical medications, especially those containing benzoyl peroxide, sulfur, resorcinol, or salicylic acid.  Concomitant use of these products may increase skin irritation.  It's generally recommended to avoid using other topical acne medications unless directed by a physician. Certain medications that increase sun sensitivity, such as thiazide diuretics or tetracycline antibiotics, may also increase the risk of sunburn while using Avita.  Patients should inform their doctor about all other medications they are using, including over-the-counter drugs and herbal supplements.","Avita gel should be applied once daily in the evening to the affected skin areas.  A pea-sized amount is usually sufficient for the entire face.  Patients should wash and dry their skin before application.  It's important to use the medication as directed by a physician and avoid overuse, as this can lead to increased irritation.  The frequency and duration of treatment will depend on the individual's response and the severity of their acne."
Ativan (Lorazepam Tablets),Ativan (Lorazepam) is indicated for the management of anxiety disorders or for the short-term relief of the symptoms of anxiety or anxiety associated with depressive symptoms. It is also used for the pre-operative sedation of adult patients and for status epilepticus.,"Common side effects include sedation, drowsiness, dizziness, weakness, and unsteadiness.  More serious side effects, though less common, can include confusion, amnesia, disorientation, depression, and paradoxical reactions (e.g., agitation, hostility).  Respiratory depression can occur, especially when used with other CNS depressants.  Physical dependence and withdrawal symptoms can occur upon discontinuation, especially after prolonged use.  It's important to consult a healthcare professional for a complete list of potential side effects.","Ativan interacts with other CNS depressants such as alcohol, opioids, barbiturates, and antihistamines, increasing the risk of respiratory depression and excessive sedation.  It can also interact with certain antifungal medications (e.g., ketoconazole, itraconazole) and some antidepressants.  Always inform your doctor or pharmacist of all other medications and supplements you are taking.","Dosage is individualized and depends on the patient's age, condition being treated, and response to therapy.  For anxiety, the usual initial dose is 2-3 mg/day given in divided doses.  For insomnia due to anxiety or transient situational stress, a single daily dose of 2-4 mg may be given, usually at bedtime.  For pre-operative sedation, the dose is usually 0.05 mg/kg administered intramuscularly 2 hours before the procedure.  It's crucial to follow the prescribed dosage and consult with a healthcare professional for any dosage adjustments."
Ammonium Lactate,"Ammonium lactate is primarily indicated for the topical treatment of dry skin conditions, particularly xerosis, ichthyosis vulgaris, and keratosis pilaris. It works by acting as a humectant and keratolytic agent, helping to moisturize and soften the skin.","Common side effects of ammonium lactate may include mild and transient skin irritation, such as burning, stinging, itching, or redness.  Less common but more serious side effects can include allergic contact dermatitis. If severe irritation occurs, use should be discontinued and a physician consulted.","While specific drug interactions with topical ammonium lactate are not well documented, it's generally advisable to avoid applying other topical medications to the same area unless directed by a physician.  Concomitant use with other keratolytic agents may increase the risk of skin irritation.",Ammonium lactate is typically applied topically to affected areas twice daily or as directed by a physician.  The specific dosage and frequency may vary depending on the concentration of ammonium lactate in the product and the severity of the skin condition.
Avelox (Moxifloxacin Tablets),"['Acute bacterial sinusitis', 'Acute bacterial exacerbation of chronic bronchitis', 'Community-acquired pneumonia', 'Complicated skin and skin structure infections (including diabetic foot infections, without osteomyelitis)', 'Complicated intra-abdominal infections (including polymicrobial infections such as abscesses)', 'Plague', 'Uncomplicated skin and skin structure infections', 'Uncomplicated gonorrhea (cervical or urethral)', 'Pelvic inflammatory disease']","['Nausea', 'Diarrhea', 'Headache', 'Dizziness', 'QT interval prolongation (a heart rhythm condition)', 'Tendon inflammation or rupture (rare but serious)', 'Peripheral neuropathy (nerve damage)', 'Central nervous system effects (e.g., seizures, hallucinations)', 'Hypersensitivity reactions (e.g., rash, itching, swelling)', 'Clostridium difficile-associated diarrhea']","['Antacids, sucralfate, multivitamins containing iron or zinc, didanosine buffered tablets or pediatric powder for oral solution: Can decrease the absorption of moxifloxacin. Separate administration by several hours.', 'Drugs that prolong the QT interval (e.g., antiarrhythmics, certain antidepressants, some antipsychotics): Increased risk of QT prolongation and torsades de pointes.', 'Warfarin: Moxifloxacin can enhance the anticoagulant effects of warfarin. Monitor INR closely.', 'Theophylline: Moxifloxacin can increase theophylline levels. Monitor theophylline levels and adjust dosage as needed.', 'Digoxin: Moxifloxacin may increase digoxin levels. Monitor digoxin levels.']","The usual adult dosage for most indications is 400 mg once daily, administered orally. The duration of therapy depends on the specific infection being treated.  Consult a healthcare professional for appropriate dosage recommendations as it can vary based on the individual and the specific infection."
