Drug,Indications,Side Effects,Drug Interactions,Dosage
Abacavir,"Abacavir is used in combination with other antiretroviral medications to treat HIV-1 infection in adults, adolescents, and children weighing at least 3 months of age. It is not a cure for HIV-1 infection, but it can help to reduce the amount of virus in the body (viral load), improve the immune system, and slow the progression of HIV-related illnesses.","Common side effects of abacavir include:
- Nausea
- Vomiting
- Diarrhea
- Loss of appetite
- Fatigue
- Headache
- Fever
- Rash
- Muscle pain

A serious hypersensitivity reaction can occur with abacavir, characterized by fever, rash, nausea, vomiting, diarrhea, abdominal pain, fatigue, cough, shortness of breath, and sore throat.  This reaction usually occurs within the first six weeks of treatment and can be life-threatening if the medication is not stopped immediately. Patients who develop this reaction must never take abacavir again.

Other serious side effects include:
- Lactic acidosis (a buildup of lactic acid in the blood)
- Severe liver problems, including liver failure
- Changes in body fat (lipodystrophy)
- Immune reconstitution inflammatory syndrome (IRIS)","Abacavir can interact with other medications, including:
- Alcohol: Increased risk of liver problems.
- Methadone: Abacavir may decrease methadone levels, requiring dosage adjustments.
- Phenytoin: Abacavir may increase phenytoin levels.

It is important to inform your doctor about all other medications, supplements, and herbal products you are taking to avoid potential interactions.","The dosage of abacavir depends on the patient's age, weight, and other medical conditions.  It is typically given as part of a combination regimen.

Adults and adolescents weighing 40 kg or more:  600 mg daily, usually as 300 mg twice daily or as a once-daily fixed-dose combination tablet.

Children weighing less than 40 kg: The dose is weight-based and may be given as an oral solution or tablets.

It is crucial to follow the prescribed dosage and administration instructions provided by your healthcare provider."
"Abacavir, dolutegravir, and lamivudine","Abacavir, dolutegravir, and lamivudine is a fixed-dose combination tablet indicated for the treatment of HIV-1 infection in adults and pediatric patients weighing at least 25 kg who have no known substitutions associated with resistance to the individual components.  It is important to note that patients must carry the HLA-B*5701 allele to be treated with abacavir-containing regimens due to the risk of a hypersensitivity reaction.","Common side effects include:
- Nausea
- Diarrhea
- Headache
- Fatigue
- Insomnia
- Rash (may be indicative of a hypersensitivity reaction to abacavir)

Serious side effects can include:
- **Hypersensitivity reaction to abacavir:**  Symptoms can include fever, rash, nausea, vomiting, diarrhea, abdominal pain, shortness of breath, cough, and sore throat. This reaction can be life-threatening if abacavir is not stopped immediately.
- Lactic acidosis and severe hepatomegaly with steatosis
- Immune reconstitution inflammatory syndrome
- New onset or worsening renal impairment
- Depressive disorders
- Suicidal ideation","Potential drug interactions include:
- **Dofetilide:** Coadministration is contraindicated due to the risk of life-threatening cardiac arrhythmias.
- **Metformin:** Dolutegravir can increase metformin concentrations. Dosage adjustments of metformin may be required.
- **Other medications metabolized by UGT1A1/UGT1A3/UGT1A9:** Dolutegravir can affect the metabolism of these medications, potentially leading to increased or decreased drug levels.
- **Cation-containing antacids or laxatives, sucralfate, buffered medications, polyvalent cation supplements (e.g., calcium, iron, magnesium, aluminum, or zinc):** These can decrease the absorption of dolutegravir and should be taken at least 2 hours before or 6 hours after dolutegravir.
- **Lamivudine can interact with certain chemotherapy drugs like cladribine.**",The recommended dosage for adults and pediatric patients weighing at least 25 kg is one tablet (Abacavir 600 mg/Dolutegravir 50 mg/Lamivudine 300 mg) once daily with or without food.
Abacavir and lamivudine,Abacavir and lamivudine are used in combination with other antiretroviral agents for the treatment of HIV-1 infection in adults and children.  It is important to note that abacavir should only be used in patients who carry the HLA-B*5701 allele has been excluded.,"['**Common Side Effects (may affect up to 1 in 10 people):**', '- Nausea, vomiting, diarrhea', '- Headache', '- Fatigue', '- Loss of appetite', '- Difficulty sleeping (insomnia)', '- Fever', '- Cough', '- Nasal symptoms', '- Muscle pain', '- Joint pain', '**Serious Side Effects (may affect up to 1 in 1000 people):**', '- **Hypersensitivity reaction to abacavir:** This is a serious allergic reaction that can be life-threatening. Symptoms may include fever, rash, nausea, vomiting, diarrhea, abdominal pain, shortness of breath, cough, sore throat, headache, and extreme tiredness. **If any of these symptoms occur, stop taking the medication immediately and seek medical attention.**', '- Lactic acidosis (a buildup of lactic acid in the blood)', '- Severe liver problems', '- Changes in body fat distribution (lipodystrophy)', '- Pancreatitis (inflammation of the pancreas)', '- Peripheral neuropathy (nerve damage)', '- Skin rash (including Stevens-Johnson syndrome and toxic epidermal necrolysis)', '- Depressed mood, anxiety']","['**Methadone:** Dosage adjustments of methadone may be required when co-administered with abacavir/lamivudine.', '**Other antiretrovirals:** Certain antiretrovirals should not be combined with abacavir/lamivudine. Consult a healthcare professional for guidance.', '**Emtracitabine:** Should not be co-administered with lamivudine-containing products like abacavir/lamivudine.', '**Sorbitol:**  Chronic use of sorbitol-containing medications may reduce the absorption of lamivudine.']","The dosage of abacavir/lamivudine is individualized based on the patient's age, weight, and other medical conditions.  A common dosage for adults is one 600mg/300mg tablet once daily.  It is crucial to follow the healthcare provider's instructions and not adjust the dosage without their guidance. For children, dosing is weight-based, and a healthcare professional will determine the appropriate dosage."
Abacavir and Lamivudine Tablets,Abacavir and lamivudine tablets are indicated for the treatment of HIV-1 infection in adults and children weighing at least 25 kg.  It is always used in combination with other antiretroviral agents.  It is important to note that patients must carry the HLA-B*5701 allele screening NEGATIVE result with them at all times while using this medication.  A positive screening result significantly increases the risk of a hypersensitivity reaction.,"['**Common Side Effects:**', '- Nausea', '- Vomiting', '- Diarrhea', '- Headache', '- Fatigue', '- Fever', '- Cough', '- Rash (mild)', '**Serious Side Effects (require immediate medical attention):**', '- Hypersensitivity reaction (symptoms may include fever, rash, vomiting, diarrhea, abdominal pain, shortness of breath, cough, sore throat, malaise, fatigue, muscle or joint aches. Can be life-threatening if treatment is delayed.)', '- Lactic acidosis (buildup of lactic acid in the blood)', '- Severe hepatomegaly with steatosis (enlarged liver with fat accumulation)', '- Immune reconstitution inflammatory syndrome (IRIS)', '- New onset or worsening of renal impairment', '- Pancreatitis', '- Peripheral neuropathy', '- Anemia', '- Neutropenia']","['**Drugs that may interact with abacavir and lamivudine include:**', '- Methotrexate (increased risk of methotrexate toxicity)', '- Trimethoprim-sulfamethoxazole (increased risk of lamivudine levels)', '- Other nucleoside reverse transcriptase inhibitors (NRTIs) (increased risk of overlapping toxicities)']",The recommended dosage of abacavir and lamivudine tablets for adults and adolescents weighing at least 25 kg is one tablet (600 mg abacavir/300 mg lamivudine) once daily. Dosage adjustments may be necessary for patients with renal impairment.  A healthcare professional should always determine the appropriate dosage based on individual patient factors.
"Abacavir, lamivudine, and zidovudine","Abacavir, lamivudine, and zidovudine is a fixed-dose combination antiretroviral medication indicated for the treatment of HIV-1 infection in adults and children weighing at least 14 kg. This combination therapy is generally prescribed for patients who are starting antiretroviral therapy for the first time or switching from other regimens. It is important to note that genetic testing for HLA-B*5701 is recommended before starting abacavir due to the risk of a potentially serious hypersensitivity reaction.","Common side effects of abacavir, lamivudine, and zidovudine can include nausea, vomiting, diarrhea, headache, fatigue, fever, rash, and insomnia.  More serious side effects, though less common, include lactic acidosis, severe hepatomegaly with steatosis, pancreatitis, peripheral neuropathy, myopathy, anemia, neutropenia, and hypersensitivity reaction (specifically associated with abacavir). The hypersensitivity reaction to abacavir can manifest as fever, rash, nausea, vomiting, diarrhea, abdominal pain, shortness of breath, cough, sore throat, and malaise.  This reaction can be life-threatening if abacavir is not discontinued immediately and permanently. Patients should be carefully monitored for these side effects and instructed to seek immediate medical attention if they experience any signs of hypersensitivity.","Abacavir, lamivudine, and zidovudine can interact with several other medications.  For example, co-administration with methadone may require an increase in the methadone dose.  Interactions with other drugs metabolized by the liver, such as some antibiotics (e.g., clarithromycin), antifungals (e.g., ketoconazole), and anticonvulsants (e.g., phenytoin), can also occur.  Additionally, co-administration with nephrotoxic drugs (e.g., aminoglycosides, amphotericin B) can increase the risk of kidney problems.  It is crucial to review a patient's medication list carefully before initiating treatment with this combination therapy to identify and manage potential drug interactions.  Patients should always inform their healthcare provider of all medications, supplements, and herbal remedies they are taking.","The recommended dosage of abacavir, lamivudine, and zidovudine in adults and adolescents weighing 40 kg or more is one tablet (600 mg abacavir/300 mg lamivudine/300 mg zidovudine) twice daily with or without food. For children weighing 14 kg to less than 25 kg, the dosage is typically based on weight and is administered as an oral solution.  Dosage adjustments may be necessary for patients with renal impairment.  It is essential to consult the prescribing information or a healthcare professional for specific dosing recommendations based on individual patient characteristics."
"Abacavir, Lamivudine and Zidovudine Tablets","Abacavir, lamivudine, and zidovudine tablets are indicated for the treatment of HIV-1 infection in adults and children weighing at least 25 kg. This combination of antiretroviral medications is used as part of a combination antiretroviral therapy (cART) regimen to suppress HIV replication and slow the progression of HIV disease.  It is important to note that this combination is not a cure for HIV infection.","Common side effects of abacavir, lamivudine, and zidovudine can include: 

* **Abacavir-specific:**
    * Hypersensitivity reaction (potentially life-threatening): Symptoms can include fever, rash, nausea, vomiting, diarrhea, abdominal pain, fatigue, cough, shortness of breath, and sore throat.  **Patients who develop a hypersensitivity reaction to abacavir must never rechallenge with the drug.**
* **General side effects (may be due to any of the three drugs):**
    * Nausea, vomiting, diarrhea
    * Headache
    * Fatigue
    * Pain
    * Anemia
    * Neutropenia (low white blood cell count)
    * Lactic acidosis (a buildup of lactic acid in the blood)
    * Hepatomegaly (enlarged liver)
    * Pancreatitis (inflammation of the pancreas)
    * Lipodystrophy (changes in body fat distribution)
    * Peripheral neuropathy (nerve damage in the hands and feet)
    * Myopathy (muscle weakness)

This is not an exhaustive list of all possible side effects.  Patients should consult their healthcare provider for a complete list and to discuss any concerns.","Abacavir, lamivudine, and zidovudine can interact with other medications, including:

* **Methadone:** Dosage adjustments of methadone may be necessary.
* **Ribavirin:**  Co-administration with ribavirin is not recommended due to increased risk of mitochondrial toxicity.
* **Clarithromycin:** May increase blood levels of zidovudine.
* **Other drugs metabolized by the liver:**  Potential for interactions with drugs metabolized by the same liver enzymes (e.g., cytochrome P450 enzymes).

Patients should inform their healthcare provider of all medications, supplements, and herbal remedies they are taking to avoid potential drug interactions.","The recommended dosage of abacavir, lamivudine, and zidovudine tablets is one tablet twice daily. The tablet contains 300 mg of abacavir, 150 mg of lamivudine, and 300 mg of zidovudine.  Dosage adjustments may be necessary in patients with renal impairment.  It is crucial to follow the prescribed dosage and instructions provided by the healthcare provider."
Abacavir Oral Solution,"Abacavir oral solution is indicated in combination with other antiretroviral agents for the treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults, adolescents, children, and infants over three months of age.","['**Most Common (incidence >10%):** Nausea, vomiting, diarrhea, fever, fatigue, headache, rash, loss of appetite.', '**Serious Side Effects:**', '  * **Hypersensitivity Reaction:**  This is a serious and potentially life-threatening reaction that can include fever, rash, nausea, vomiting, diarrhea, abdominal pain, fatigue, cough, shortness of breath, sore throat, and malaise. Patients who develop a hypersensitivity reaction to abacavir must discontinue the drug and NEVER rechallenge due to the risk of more severe, potentially fatal reactions upon re-exposure.', '  * **Lactic Acidosis and Severe Hepatomegaly with Steatosis:**  This is a rare but serious syndrome that can be fatal. Symptoms may include nausea, vomiting, abdominal pain, and unusual muscle pain.', '  * **Immune Reconstitution Inflammatory Syndrome (IRIS):**  IRIS can occur in HIV-infected patients starting antiretroviral therapy. Pre-existing opportunistic infections may worsen or new infections may appear.', '  * **Myocardial Infarction:**  An increased risk of myocardial infarction has been observed in some studies.', '**Other Side Effects:**  Other less common side effects include insomnia, abnormal dreams, depression, anxiety, dizziness, paresthesia, pancreatitis, liver function abnormalities, and changes in body fat distribution (lipodystrophy).', '**Note:** This is not an exhaustive list of all possible side effects.  Consult with a healthcare professional for a complete list and personalized advice.']","['**Methadone:** Abacavir may decrease methadone concentrations, requiring dose adjustments of methadone.', '**Ethanol (Alcohol):**  Concurrent use of alcohol may increase the risk of pancreatitis and liver toxicity.', '**Other Antiretrovirals:**  Drug interactions may occur with other antiretrovirals.  Close monitoring and dose adjustments may be necessary.', '**Note:** This is not an exhaustive list of all possible drug interactions. Consult with a healthcare professional for a complete list and personalized advice, especially if taking other medications, including over-the-counter drugs and herbal supplements.']",Dosage of abacavir oral solution is individualized based on age and weight.  It is generally administered twice daily as part of a combination antiretroviral regimen.  Consult with a healthcare professional for specific dosage recommendations as they will consider the patient's individual circumstances and other medications being taken.  Always follow the prescribed dosage instructions carefully.
Abacavir Sulfate,"Abacavir sulfate is indicated, in combination with other antiretroviral agents, for the treatment of Human Immunodeficiency Virus-1 (HIV-1) infection in adults and children weighing at least 14 kg.  It is important to note that abacavir should only be used in patients who carry the HLA-B*5701 allele after genetic screening, as those with this allele are at high risk of a hypersensitivity reaction.","Common side effects of abacavir sulfate include nausea, vomiting, diarrhea, loss of appetite, fever, headache, fatigue, and rash.  A serious hypersensitivity reaction can occur, characterized by fever, rash, gastrointestinal symptoms (nausea, vomiting, diarrhea, abdominal pain), respiratory symptoms (cough, shortness of breath), and constitutional symptoms (malaise, fatigue).  This reaction can be life-threatening if abacavir is not discontinued immediately. Other potential side effects include lactic acidosis, severe hepatomegaly with steatosis, immune reconstitution inflammatory syndrome, and changes in body fat distribution.","Abacavir sulfate can interact with several medications.  Co-administration with orlistat can decrease the absorption of abacavir.  Alcohol may increase the risk of lactic acidosis.  Caution should be used when co-administering abacavir with drugs that are metabolized by the liver, as this may affect drug levels.  Examples include methadone, which may require dosage adjustments, and phenytoin.  Consult a healthcare professional for a comprehensive list of potential drug interactions.","The recommended dosage of abacavir sulfate for adults and adolescents weighing 40 kg or more is 600 mg once daily or 300 mg twice daily, in combination with other antiretroviral agents.  For children weighing 14 kg to less than 25 kg, the recommended dosage is 8 mg/kg twice daily or 16 mg/kg once daily. For children weighing 25 kg to less than 35 kg, the recommended dosage is 12 mg/kg twice daily or 24 mg/kg once daily. For children weighing 35 kg or more, the recommended dosage is 300 mg twice daily or 600 mg once daily.  The dosage may need to be adjusted in patients with renal impairment.  It is crucial to confirm the absence of the HLA-B*5701 allele before initiating therapy with abacavir sulfate."
Abacavir Sulfate Tablets,Abacavir sulfate tablets are indicated in combination with other antiretroviral agents for the treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults and children weighing at least 25 kg.  It is important to note that Abacavir is part of a combination therapy and should not be used as a single agent for HIV treatment.,"Abacavir can cause serious side effects, including a hypersensitivity reaction. This reaction can be life-threatening and includes symptoms such as fever, rash, nausea, vomiting, diarrhea, abdominal pain, fatigue, cough, shortness of breath, and sore throat.  Patients who develop these symptoms should discontinue abacavir immediately and never restart it. 

Other common side effects include:
- Nausea
- Vomiting
- Diarrhea
- Headache
- Fatigue
- Loss of appetite
- Fever
- Rash (mild)
- Muscle pain

Less common but potentially serious side effects can include:
- Lactic acidosis (a buildup of lactic acid in the blood)
- Severe liver problems
- Pancreatitis
- Changes in body fat distribution
- Immune reconstitution inflammatory syndrome (IRIS)

This is not an exhaustive list of all possible side effects.  Patients should consult with their healthcare provider for a complete list and personalized advice.","Abacavir can interact with other medications, including:
- Alcohol:  Excessive alcohol consumption may increase the risk of lactic acidosis and liver damage.
- Methadone: Abacavir may decrease methadone levels, requiring dosage adjustments.
- Phenytoin: Abacavir levels may be reduced by phenytoin.
- Other antiretroviral drugs: Some combinations of antiretroviral drugs can increase the risk of side effects or decrease effectiveness.  It's crucial to discuss all medications with a healthcare provider.

This is not an exhaustive list, and patients should inform their healthcare provider of all medications, supplements, and herbal products they are taking.","The recommended dosage of abacavir sulfate tablets for adults and children weighing at least 25 kg is 600 mg daily, usually taken as one 300 mg tablet twice daily or as one 600 mg tablet once daily as part of a combination antiretroviral regimen. The dosage may need to be adjusted for patients with kidney impairment.  It's essential to follow the healthcare provider's instructions regarding dosage and administration."
Abacavir Tablets,"Abacavir is used in combination with other antiretroviral medications to treat HIV-1 infection in adults, adolescents, and children weighing at least 25 kg.  It is not a cure for HIV-1 infection, but it can help control the virus, improve immune function, and reduce the risk of developing AIDS-related illnesses.","Common side effects of Abacavir include:
- Nausea
- Vomiting
- Diarrhea
- Loss of appetite
- Fever
- Headache
- Fatigue
- Rash

A serious hypersensitivity reaction can occur with Abacavir. Symptoms of this reaction include fever, rash, nausea, vomiting, diarrhea, abdominal pain, fatigue, sore throat, cough, and shortness of breath.  This reaction usually occurs within the first six weeks of treatment and can be life-threatening if Abacavir is not stopped immediately. Patients who develop this reaction should never take Abacavir again.

Other serious side effects include:
- Lactic acidosis (a buildup of lactic acid in the blood)
- Severe hepatomegaly with steatosis (enlarged liver with fat accumulation)
- Myocardial infarction (heart attack)

This is not a complete list of all possible side effects.  Consult a healthcare professional for further information.","Abacavir can interact with other medications, including:
- Alcohol:  Excessive alcohol consumption can increase the risk of liver problems.
- Methadone:  Abacavir can decrease methadone levels, requiring dosage adjustments.
- Phenytoin: Abacavir can decrease phenytoin levels, requiring dosage adjustments.

This is not a complete list of all possible drug interactions.  Consult a healthcare professional for further information and always disclose all medications and supplements you are taking.","The recommended dosage of Abacavir varies depending on the patient's age and weight, as well as other medications being taken.  

For adults and adolescents weighing 40 kg or more, the typical dose is 600 mg daily, given as either 300 mg twice daily or a single 600 mg tablet once daily.

For children weighing 25 kg to 40 kg, the dosage is based on weight and should be determined by a healthcare professional.

It's crucial to follow the prescribed dosage and instructions provided by a healthcare professional. Do not alter the dosage without consulting your doctor."
