query,best_match,response,cosine_similarity,rouge1,rouge2,rougeL,response_time
How many people are affected by malignant migrating partial seizures of infancy ?,"MMPSI is a rare condition. Although its prevalence is unknown, approximately 100 cases have been described in the medical literature.","Malignant migrating partial seizures of infancy (MMPSI) is an extremely rare epilepsy syndrome.  While the exact prevalence is unknown, the current medical literature describes approximately 100 cases worldwide.  This suggests that the actual number of affected individuals may be slightly higher, as some cases may go undiagnosed or unreported in the literature.  Therefore, while we can say that MMPSI affects a very small number of infants, a precise quantification remains elusive.",0.7994,0.3077,0.1573,0.2637,6.2254
Is Galloway-Mowat syndrome inherited ?,"How is Galloway-Mowat syndrome inherited? Galloway-Mowat syndrome is inherited in an autosomal recessive manner. This means that to be affected, a person must have a mutation in both copies of the responsible gene in each cell. Affected people inherit one mutated copy of the gene from each parent, who is referred to as a carrier. Carriers of an autosomal recessive condition typically do not have any signs or symptoms (they are unaffected). When 2 carriers of an autosomal recessive condition have children, each child has a: 25% (1 in 4) chance to be affected 50% (1 in 2) chance to be an unaffected carrier like each parent 25% chance to be unaffected and not be a carrier","Yes, Galloway-Mowat syndrome is inherited in an autosomal recessive manner.  This means an affected individual inherits two mutated copies of a gene associated with the syndrome, one from each parent. The parents are typically carriers, meaning they possess one mutated copy and one normal copy of the gene, and are usually unaffected.",0.9144,0.407,0.2235,0.2907,3.2484
What are the treatments for Weill-Marchesani syndrome ?,These resources address the diagnosis or management of Weill-Marchesani syndrome:  - Gene Review: Gene Review: Weill-Marchesani Syndrome  - Genetic Testing Registry: Weill-Marchesani syndrome  - Genetic Testing Registry: Weill-Marchesani syndrome 1  - Genetic Testing Registry: Weill-Marchesani syndrome 2  - Genetic Testing Registry: Weill-Marchesani syndrome 3   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"Weill-Marchesani syndrome (WMS) treatment focuses on managing the specific symptoms and complications that arise, as there's no cure for the underlying genetic defect.  Treatment approaches vary depending on the individual's presentation and may involve specialists from various medical disciplines.

Here's a breakdown of potential treatment strategies based on common WMS manifestations:

* **Ocular Issues:**
    * **Glaucoma:**  This is a significant concern in WMS and requires careful monitoring and management. Treatments can include eye drops, oral medications, laser procedures (like trabeculoplasty or iridotomy), and surgical interventions (like trabeculectomy or tube shunt surgery) to lower intraocular pressure and prevent optic nerve damage.
    * **Lens Subluxation/Dislocation (Ectopia Lentis):**  If the lens dislocates significantly and impairs vision, surgical removal (lensectomy) may be necessary.  This can be followed by the implantation of an artificial lens or correction with glasses or contact lenses.  Careful pre-operative evaluation is crucial due to the potential for other ocular abnormalities in WMS.
    * **Myopia (Nearsightedness) and other refractive errors:**  These can be corrected with glasses or contact lenses.
    * **Cataracts:**  If cataracts develop and impair vision, surgical removal with intraocular lens implantation is typically recommended.

* **Cardiovascular Issues:**
    * **Heart Valve Abnormalities (e.g., mitral valve prolapse):**  Regular monitoring by a cardiologist is essential.  Medications may be prescribed to manage symptoms or prevent complications. In some cases, surgical intervention may be needed to repair or replace affected valves.
    * **Short Stature and Skeletal Abnormalities:**  While the short stature itself isn't typically treated, associated skeletal issues like joint stiffness or pain may require physical therapy or other supportive measures.

* **Other Considerations:**
    * **Genetic Counseling:**  This is strongly recommended for individuals with WMS and their families to discuss inheritance patterns, recurrence risks, and available testing options.
    * **Regular Monitoring:**  Ongoing monitoring by ophthalmologists, cardiologists, and other specialists as needed is crucial for early detection and management of potential complications.

**Important Note:** The provided resources are general medical information sources and do not offer specific treatment guidelines for WMS. The GeneReview on Weill-Marchesani syndrome is the most specific resource listed and should be consulted for more detailed information.  Management of WMS requires a personalized approach directed by a qualified medical professional familiar with the condition.",0.8288,0.1253,0.0373,0.0603,12.2914
What are the treatments for Schimke immunoosseous dysplasia ?,"How might Schimke immunoosseous dysplasia be treated? Treatment of Schimke immunoosseous dysplasia (SIOD) is based on addressing individual symptoms as they develop.  Renal transplantation can treat the renal disease, and bone marrow transplantation has been done to treat the immunodeficiency.  Blood thinning medications can transiently improve blood flow through the atherosclerotic arteries but do not provide enduring relief from cerebral ischemia.  Treatment with acyclovir and some antibacterial agents has been beneficial for preventing of reducing the frequency of opportunistic infections.  More detailed information about treatment for SIOD can be found on the GeneReview's Web site. Click on the GeneReview link to read more.","Treatment for Schimke immuno-osseous dysplasia (SIOD) focuses on managing the specific symptoms as they arise, given the lack of a cure for this multi-systemic disorder.  The following are the main treatment approaches:

* **Renal Disease:**  Progressive renal failure is a hallmark of SIOD.  **Renal transplantation** is the primary treatment for end-stage renal disease in these patients.

* **Immunodeficiency:** The immune deficiency associated with SIOD, characterized by T-cell dysfunction and lymphopenia, increases susceptibility to infections.  **Bone marrow transplantation** has been explored as a potential treatment to address the immunodeficiency. However, it's important to note that this procedure carries significant risks and its efficacy in SIOD is not fully established.

* **Cerebrovascular Disease:**  Stroke-like episodes caused by cerebrovascular disease are a significant concern. While blood-thinning medications (anticoagulants and antiplatelets) might offer temporary improvement in blood flow through affected arteries, they don't provide long-term protection against cerebral ischemia.  Managing hypertension and other vascular risk factors is crucial.

* **Infections:**  Prophylactic treatment with antiviral medications like **acyclovir** and certain antibacterial agents can help prevent or reduce the frequency of opportunistic infections, to which SIOD patients are particularly vulnerable.

* **Supportive Care:**  Management of other symptoms, such as growth retardation and other complications, is crucial. This often involves a multidisciplinary approach with specialists in nephrology, immunology, hematology, neurology, and other relevant fields.  Regular monitoring and appropriate interventions are essential for optimizing quality of life.


As mentioned in the provided context, the GeneReviews website ([https://www.ncbi.nlm.nih.gov/books/NBK1384/](https://www.ncbi.nlm.nih.gov/books/NBK1384/)) offers more detailed information on the management of SIOD.  It is recommended to consult with specialists familiar with this rare disorder for personalized treatment plans.",0.7506,0.3204,0.1403,0.2532,10.0754
What are the symptoms of Coronary Microvascular Disease ?,"The signs and symptoms of coronary microvascular disease (MVD) often differ from the signs and symptoms of traditional coronary heart disease (CHD).
                
Many women with coronary MVD have angina (an-JI-nuh or AN-juh-nuh). Angina is chest pain or discomfort that occurs when your heart muscle doesn't get enough oxygen-rich blood.
                
Angina may feel like pressure or squeezing in your chest. You also may feel it in your shoulders, arms, neck, jaw, or back. Angina pain may even feel like indigestion.
                
Angina also is a common symptom of CHD. However, the angina that occurs in coronary MVD may differ from the typical angina that occurs in CHD. In coronary MVD, the chest pain usually lasts longer than 10 minutes, and it can last longer than 30 minutes. Typical angina is more common in women older than 65.
                
Other signs and symptoms of coronary MVD are shortness of breath, sleep problems, fatigue (tiredness), and lack of energy.
                
Coronary MVD symptoms often are first noticed during routine daily activities (such as shopping, cooking, cleaning, and going to work) and times of mental stress. It's less likely that women will notice these symptoms during physical activity (such as jogging or walking fast).
                
This differs from CHD, in which symptoms often first appear while a person is being physically activesuch as while jogging, walking on a treadmill, or going up stairs.","Coronary microvascular disease (MVD) presents with symptoms distinct from typical coronary heart disease (CHD), particularly in women.  Key symptoms include:

* **Angina:** Chest pain or discomfort, often described as pressure or squeezing.  It can radiate to the shoulders, arms, neck, jaw, or back, and may mimic indigestion.  A crucial difference from CHD-related angina is the *duration*: MVD angina typically lasts longer than 10 minutes, often exceeding 30 minutes.  While angina is common in both MVD and CHD, it's more prevalent in women over 65 with CHD.

* **Shortness of breath (Dyspnea):** Difficulty breathing or feeling breathless, even without exertion.

* **Sleep disturbances:** Difficulty falling asleep, staying asleep, or experiencing restful sleep.

* **Fatigue:** Persistent tiredness and lack of energy, impacting daily activities.

* **Reduced exercise capacity:** Difficulty with physical exertion, though symptoms are less likely to manifest *during* physical activity compared to CHD.  Instead, MVD symptoms often emerge during routine daily tasks or periods of mental stress.


It's important to note that these symptoms can be subtle and easily attributed to other conditions.  If you experience these symptoms, particularly persistent angina or unusual fatigue, consult a healthcare professional for a proper diagnosis.


While the provided context gives a good overview, further information can be found at the National Heart, Lung, and Blood Institute (NHLBI) resources on heart health. (Specific citations are difficult as general information pages are frequently updated, but the NHLBI website is a reliable source.)",0.8215,0.5225,0.2022,0.3169,9.1486
Is VACTERL association inherited ?,"Most cases of VACTERL association are sporadic, which means they occur in people with no history of the condition in their family. Rarely, families have multiple people affected with VACTERL association. A few affected individuals have family members with one or two features, but not enough signs to be diagnosed with the condition. In these families, the features of VACTERL association often do not have a clear pattern of inheritance. Multiple genetic and environmental factors likely play a part in determining the risk of developing this condition and how severe the condition will be in an individual.","VACTERL association is generally **not considered inherited in the classic Mendelian pattern**.  While extremely rare familial cases have been reported, the vast majority of VACTERL occurrences are sporadic, meaning they arise without any prior family history.  Although a few families may have multiple affected members or individuals with some VACTERL features, the pattern of recurrence doesn't suggest a single, predictable inheritance mode.  Current understanding points to a complex interplay of multiple genetic and environmental factors contributing to VACTERL association, rather than a single causative gene being passed down through families.",0.8273,0.4468,0.1183,0.2553,4.5527
What is (are) L-2-hydroxyglutaric aciduria ?,"L-2-hydroxyglutaric aciduria is an inherited metabolic condition that is associated with progressive brain damage. Signs and symptoms of this condition typically begin during infancy or early childhood and may include developmental delay, seizures, speech difficulties, macrocephaly and abnormalities in a part of the brain called the cerebellum, which is involved in coordinating movement (i.e. balance and muscle coordination). L-2-hydroxyglutaric aciduria is caused by changes (mutations) in the L2HGDH gene and is inherited in an autosomal recessive manner. Treatment is focused on alleviating the signs and symptoms of the condition, such as medications to control seizures.","L-2-Hydroxyglutaric aciduria (L-2-HGA) is a rare, inherited neurometabolic disorder characterized by the accumulation of L-2-hydroxyglutaric acid in the brain, cerebrospinal fluid, and other tissues. This buildup is due to a deficiency in the enzyme L-2-hydroxyglutarate dehydrogenase, which is responsible for breaking down L-2-hydroxyglutarate.  The resulting accumulation leads to progressive neurological damage.

Here's a breakdown of key features:

* **Clinical Presentation:**  Symptoms typically emerge in infancy or early childhood, though some individuals may not manifest symptoms until later in life. Common signs and symptoms include:
    * Developmental delay:  Delayed milestones in motor skills, language, and cognitive development.
    * Seizures:  Various seizure types can occur.
    * Speech difficulties:  Problems with articulation, comprehension, or both.
    * Macrocephaly:  Abnormally large head size.
    * Cerebellar abnormalities:  Affecting balance, coordination, and motor control.  Symptoms may include ataxia (lack of muscle coordination).
    * Other possible features:  Spasticity, extrapyramidal symptoms (movement disorders), and intellectual disability.

* **Genetics:** L-2-HGA is caused by mutations in the *L2HGDH* gene, which provides instructions for making the L-2-hydroxyglutarate dehydrogenase enzyme.  It is inherited in an autosomal recessive pattern, meaning that both parents must carry a mutated copy of the gene for a child to be affected.  If both parents are carriers, each child has a 25% chance of inheriting the disorder.

* **Diagnosis:**  Diagnosis is typically based on a combination of:
    * Clinical evaluation:  Assessing neurological symptoms and developmental milestones.
    * Magnetic resonance imaging (MRI):  Brain MRI often reveals characteristic abnormalities, particularly in the white matter and subcortical basal ganglia.
    * Biochemical testing:  Elevated levels of L-2-hydroxyglutaric acid can be detected in urine, plasma, and cerebrospinal fluid through specialized laboratory tests, such as gas chromatography-mass spectrometry (GC-MS).
    * Genetic testing:  Molecular genetic testing can confirm the diagnosis by identifying mutations in the *L2HGDH* gene.

* **Treatment:**  Currently, there is no cure for L-2-HGA.  Treatment is primarily supportive and focuses on managing symptoms:
    * Anticonvulsant medications:  To control seizures.
    * Physical therapy:  To improve motor skills and coordination.
    * Occupational therapy:  To address developmental delays and improve daily living skills.
    * Speech therapy:  To assist with communication difficulties.

* **Prognosis:**  The prognosis for individuals with L-2-HGA varies depending on the severity of symptoms.  The neurological damage is often progressive, leading to increasing disability over time.  Early diagnosis and intervention can help to manage symptoms and improve quality of life.


**Sources:**

While no specific source was provided in the context, information on L-2-HGA can be found in reputable medical databases such as OMIM (Online Mendelian Inheritance in Man) and GeneReviews.  Medical textbooks on metabolic disorders and neurology also provide detailed information.",0.7976,0.3008,0.1283,0.2068,13.3368
What are the symptoms of Lissencephaly 1 ?,"What are the signs and symptoms of Lissencephaly 1? The Human Phenotype Ontology provides the following list of signs and symptoms for Lissencephaly 1. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cerebellar hypoplasia - Heterotopia - Hypoplasia of the brainstem - Intellectual disability - Lissencephaly - Muscular hypotonia of the trunk - Pachygyria - Postnatal microcephaly - Seizures - Spastic tetraparesis - Sporadic - Variable expressivity - Ventriculomegaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Lissencephaly 1 is characterized by a range of neurological symptoms, primarily due to the abnormal development of the brain. The provided list from the Human Phenotype Ontology (HPO) highlights some key features, though specific frequencies are lacking.  Here's a breakdown of the symptoms:

* **Lissencephaly:** This is the core feature of the condition, referring to the smooth brain surface due to a lack of normal folds (gyri) and grooves (sulci).

* **Pachygyria:**  Related to lissencephaly, this term describes abnormally thick gyri, further contributing to the smooth brain appearance.

* **Cerebellar hypoplasia:** Underdevelopment of the cerebellum, the part of the brain responsible for coordination and balance. This can lead to difficulties with motor skills.

* **Hypoplasia of the brainstem:** Underdevelopment of the brainstem, which controls essential functions like breathing, heart rate, and consciousness.  This can lead to a variety of serious problems.

* **Ventriculomegaly:** Enlargement of the brain's ventricles (fluid-filled spaces).

* **Postnatal microcephaly:**  A smaller than normal head circumference developing after birth.  This reflects the underlying brain malformation.

* **Intellectual disability:**  Cognitive impairment ranging from mild to severe, affecting learning, problem-solving, and adaptive skills.

* **Seizures:**  Abnormal electrical activity in the brain, resulting in various types of seizures. This is a common symptom in lissencephaly.

* **Muscular hypotonia of the trunk:**  Low muscle tone, particularly in the torso, leading to weakness and difficulty with posture and movement.

* **Spastic tetraparesis:**  A form of cerebral palsy affecting all four limbs, characterized by increased muscle tone (spasticity), stiffness, and impaired movement.

* **Heterotopia:**  The presence of gray matter (normally found on the brain's surface) in abnormal locations within the brain. This is a result of disrupted neuronal migration during development.

The terms ""sporadic"" and ""variable expressivity"" describe the inheritance and presentation of the condition, not symptoms themselves:

* **Sporadic:**  Indicates that the condition isn't typically inherited but arises from a new genetic mutation in the affected individual.

* **Variable expressivity:**  Means that the severity and combination of symptoms can vary widely, even among individuals with the same genetic mutation.

It's crucial to remember that this list isn't exhaustive, and the presence and severity of symptoms can vary significantly.  For a comprehensive evaluation and diagnosis, consultation with a medical specialist, ideally a neurologist or geneticist experienced with lissencephaly, is essential.  Genetic testing is often necessary to confirm the diagnosis.",0.8091,0.3778,0.0764,0.1778,13.1019
what research (or clinical trials) is being done for Multiple Sclerosis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Scientists continue their extensive efforts to create new and better therapies for MS. One of the most promising MS research areas involves naturally occurring antiviral proteins known as interferons. Beta interferon has been shown to reduce the number of exacerbations and may slow the progression of physical disability. When attacks do occur, they tend to be shorter and less severe. In addition, there are a number of treatments under investigation that may curtail attacks or improve function. Over a dozen clinical trials testing potential therapies are underway, and additional new treatments are being devised and tested in animal models.
                
In 2001, the National Academies/Institute of Medicine, a Federal technical and scientific advisory agency, prepared a strategic review of MS research. To read or download the National Academies/Institute of Medicine report, go to: ""Multiple Sclerosis: Current Status and Strategies for the Future.""","Research into Multiple Sclerosis (MS) is active and ongoing, focusing on several key areas:

**1. Disease-Modifying Therapies (DMTs):**  Research continues to refine existing DMTs like interferons and develop new ones.  These aim to reduce the frequency and severity of relapses, slow disease progression, and limit the accumulation of disability.  Clinical trials are constantly evaluating new agents targeting different aspects of the immune system and neuroprotective strategies.

* **Examples of areas of investigation within DMTs:**
    * **B-cell targeting therapies:**  Several approved DMTs now target B cells, a type of immune cell implicated in MS. Research continues to explore the optimal use of these therapies and develop new ones.
    * **T-cell targeting therapies:**  Research is ongoing into therapies that modulate T-cell activity, another type of immune cell involved in MS.
    * **Neuroprotective therapies:** These aim to protect nerve cells from damage and promote repair.  This is a challenging area, but holds significant promise for preventing long-term disability.

**2. Repair and Regeneration:**  This research focuses on promoting the repair of damaged myelin (the protective sheath around nerve fibers) and nerve cells in the central nervous system.  Strategies include:

* **Myelin repair therapies:**  Researchers are investigating drugs and other interventions that stimulate remyelination.
* **Stem cell therapies:**  Clinical trials are exploring the potential of stem cells to repair damaged tissues in the brain and spinal cord.

**3. Symptomatic Treatment:**  Research is ongoing to improve the management of MS symptoms, such as fatigue, pain, spasticity, and cognitive dysfunction.  This includes:

* **Pharmacological interventions:**  Developing and testing new drugs to address specific symptoms.
* **Non-pharmacological interventions:**  Exploring the effectiveness of approaches like physiotherapy, occupational therapy, and cognitive rehabilitation.

**4. Understanding the Cause and Mechanisms of MS:**  Basic research is crucial for identifying the underlying causes of MS and the mechanisms that drive disease progression. This includes:

* **Genetic studies:**  Investigating the genetic factors that contribute to MS susceptibility.
* **Environmental factors:**  Exploring the role of environmental factors, such as infections and vitamin D deficiency, in triggering or exacerbating MS.
* **Immunological studies:**  Further characterizing the immune system's role in MS.

**5. Biomarkers and Imaging:**  Researchers are working to identify biomarkers that can predict disease course, monitor treatment response, and improve early diagnosis.  Advanced imaging techniques are also being developed to better visualize and quantify disease activity.


**Finding Clinical Trials:**

To find current clinical trials for MS, you can search online databases such as:

* **ClinicalTrials.gov:** This U.S. government website provides information about publicly and privately supported clinical studies conducted around the world.
* **National Multiple Sclerosis Society website:** This organization provides information and resources about MS, including current research and clinical trials.


While the information provided in the context about interferon beta is accurate, it's important to note that MS treatment has advanced considerably since 2001.  The provided excerpt highlights the importance of staying updated with the latest research and consulting with a neurologist for personalized treatment recommendations.",0.7089,0.2628,0.0303,0.1299,14.7967
"Is 48,XXYY syndrome inherited ?","This condition is not inherited; it usually occurs as a random event during the formation of reproductive cells (eggs and sperm). An error in cell division called nondisjunction results in a reproductive cell with an abnormal number of chromosomes. In 48,XXYY syndrome, the extra sex chromosomes almost always come from a sperm cell. Nondisjunction may cause a sperm cell to gain two extra sex chromosomes, resulting in a sperm cell with three sex chromosomes (one X and two Y chromosomes). If that sperm cell fertilizes a normal egg cell with one X chromosome, the resulting child will have two X chromosomes and two Y chromosomes in each of the body's cells.  In a small percentage of cases, 48,XXYY syndrome results from nondisjunction of the sex chromosomes in a 46,XY embryo very soon after fertilization has occurred. This means that an normal sperm cell with one Y chromosome fertilized a normal egg cell with one X chromosome, but right after fertilization nondisjunction of the sex chromosomes caused the embryo to gain two extra sex chromosomes, resulting in a 48,XXYY embryo.","48,XXYY syndrome is not inherited in the traditional sense of being passed down from parent to child through genes.  It is almost always caused by a random error in cell division called nondisjunction that occurs during the formation of sperm cells. This error leads to a sperm cell having an extra X and Y chromosome. When this abnormal sperm fertilizes a normal egg, the resulting embryo has 48,XXYY syndrome.  In rare cases, the nondisjunction event can occur after fertilization in a 46,XY embryo, leading to 48,XXYY syndrome.  Neither of these scenarios involves the inheritance of a disease-causing gene from a parent.",0.8486,0.531,0.2153,0.2759,4.9393
